"0",""
"0","master_table3 <- master_table2 %>% select(refYr, interval, variable, value) %>% pivot_wider(names_from = variable) "
"0",""
"0","merge(master_table3 %>% filter(interval == 2), master_table3 %>% filter(interval == 4), by = 'refYr') %>%"
"0","  mutate(ABC_pDiff =paste0(100*round(( ABC.y - ABC.x)/ABC.x,3),""%""),"
"0","         OFL_pDiff = paste0(100*round(( OFL.y - OFL.x)/OFL.x,3),""%"")) %>%"
"0","  select(refYr, "
"0","          ""2 year ABC""= ABC.x ,"
"0","           ""4 year ABC""= ABC.y ,"
"0","           ""2 year OFL""= OFL.x ,"
"0","           ""4 year OFL""= OFL.y ,"
"0","         ABC_pDiff, OFL_pDiff) %>%"
"0","  filter(refYr < 2020) "
