"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"3008",455614,394011,650751,532613,435412,354425,286705,230733,185105,148247,118620,94867,75848,60632,48464,38735,30957,24741,19772,15801,12628,50234
"3010",435984,373012,322553,532603,435374,354309,286509,230508,184892,148061,118466,94741,75746,60550,48398,38682,30915,24707,19745,15779,12610,50165
"3012",422282,356951,305387,264059,435866,355848,289059,233391,187599,150399,120408,96325,77027,61581,49225,39345,31446,25132,20085,16051,12828,51031
"3014",418336,345731,292234,249995,216054,355972,289844,234924,189427,152150,121931,97596,78066,62423,49903,39889,31882,25481,20364,16275,13006,51743
"3016",427370,342492,283032,239185,204386,175921,288134,233466,188665,151879,121886,97632,78125,62482,49956,39935,31919,25512,20389,16294,13022,51807
"3018",448528,349888,280377,231643,195506,166279,142144,231506,186936,150781,121261,97261,77883,62311,49828,39836,31842,25451,20341,16256,12991,51687
"3020",470738,367212,286438,229487,189405,159261,134717,114649,186215,150141,121007,97274,78003,62452,49961,39950,31937,25528,20404,16306,13032,51849
"3022",476660,385381,300585,234357,187315,153256,127237,106509,90065,145776,117318,94458,75889,60834,48696,38950,31142,24895,19898,15903,12709,50566
"3024",476514,390219,315432,245872,191078,150921,121361,99333,82430,69374,112003,90014,72418,58154,46603,37298,29829,23848,19062,15235,12176,48443
"3026",427138,390120,319444,258151,200940,155358,121789,97333,79366,65725,55255,89156,71628,57614,46261,37069,29665,23724,18966,15160,12116,48208
"3028",501792,349684,319330,261346,210654,162419,123849,95990,76181,61885,51145,42950,69258,55622,44729,35909,28770,23023,18411,14718,11764,46810
"3030",609170,410808,286244,261290,213398,170693,130147,98334,75786,59964,48632,40156,33704,54334,43628,35079,28159,22561,18053,14436,11540,45925
"3032",621030,498734,336316,234301,213695,173992,138552,105252,79345,61077,48294,39153,32323,27127,43726,35108,28228,22660,18154,14526,11616,46239
"3034",558900,508437,408282,275249,191506,173823,140537,111265,84225,63371,48731,38510,31211,25762,21618,34844,27975,22492,18055,14464,11574,46094
"3036",804832,457570,416220,334137,224942,155686,140236,112671,88861,67125,50450,38771,30629,24818,20483,17186,27699,22238,17879,14351,11497,45837
"3038",1065138,658891,374539,340518,272650,181796,124077,110486,88147,69254,52207,39195,30103,23771,19258,15891,13332,21485,17249,13867,11130,44465
"3040",1223000,872031,539397,306545,278372,221931,147052,99847,88630,70588,55408,41750,31334,24061,18999,15391,12698,10653,17169,13783,11080,44423
"3042",2262160,1001258,713851,441410,250435,226019,178580,117454,79391,70298,55914,43859,33034,24786,19031,15026,12170,10042,8424,13576,10898,43885
"3044",976982,1851992,819609,584106,360431,202935,181124,141804,92745,62499,55251,43908,34423,25919,19444,14927,11785,9545,7875,6606,10646,42959
"3046",702172,799847,1516062,670727,477224,292720,163381,144778,112851,73633,49556,43779,34778,27259,20522,15394,11817,9329,7555,6234,5229,42428
"3048",1352312,574871,654800,1240885,548424,388744,237147,131769,116445,90631,59088,39750,35108,27884,21854,16451,12340,9472,7478,6057,4997,38200
"3050",2121820,1107155,470633,535989,1014959,447325,315795,192003,106467,93981,73103,47646,32046,28300,22477,17615,13260,9946,7635,6027,4881,34814
"3052",919482,1737155,906393,385229,438351,827483,363043,255337,154891,85781,75671,58839,38341,25784,22769,18082,14171,10667,8001,6141,4849,31932
"3054",2409580,752793,1422175,741947,315120,357672,672707,294247,206569,125181,69290,61106,47506,30954,20815,18380,14596,11438,8611,6458,4958,29687
"3056",579668,1972779,616311,1164238,607124,257457,291560,547344,239139,167778,101640,56250,49601,38560,25122,16894,14917,11847,9283,6988,5241,28116
"3058",1063106,474592,1615172,504590,953169,496987,210650,238263,446288,194358,135837,81964,45193,39722,30796,20020,13439,11849,9400,7359,5536,26388
"3060",1202662,870398,388562,1322387,413118,780327,406773,172313,194694,364120,158285,110417,66508,36615,32141,24892,16168,10846,9558,7579,5932,25715
"3062",1032958,984654,712617,318123,1082599,338094,637862,331526,139675,156581,290115,124901,86345,51601,28220,24639,19001,12299,8228,7236,5727,23835
"3064",1003372,845714,806163,583436,260444,886122,276521,520690,269666,113031,125942,231878,99242,68255,40614,22135,19272,14828,9581,6400,5622,22922
"3066",795886,821491,692409,660025,477655,213181,724786,225764,423694,218375,91008,100802,184563,78609,53845,31935,17359,15082,11585,7476,4989,22205
"3068",771220,651616,672578,566892,540361,390985,174388,591952,183847,343569,176188,73044,80512,146786,62298,42549,25177,13660,11852,9093,5862,21287
"3070",693230,631421,533496,550654,464110,442296,319788,142366,481585,148826,276479,140915,58087,63705,115659,48920,33322,19674,10657,9232,7076,21087
"3072",1207048,567568,516963,436786,450820,379901,361821,261200,115952,390634,120131,222049,112640,46240,50537,91497,38614,26256,15481,8375,7251,22082
"3074",1154198,988246,464684,423249,357595,369011,310743,295435,212588,93934,314703,96227,176912,89323,36524,39792,71858,30265,20545,12099,6540,22862
"3076",1049860,944976,809105,380447,346509,292691,301787,253611,240204,171902,75463,251125,76304,139513,70117,28564,31026,55895,23497,15929,9369,22721
"3078",751622,859552,773679,662431,311464,283603,239321,246157,205934,193788,137618,59933,197960,59759,108667,54372,22071,23906,42975,18035,12209,24539
"3080",788530,615376,703739,633428,542326,254939,231959,195372,200257,166698,155934,110057,47654,156613,47078,85316,42572,17244,18645,33472,14032,28544
"3082",1095688,645592,503825,576167,518580,443891,208490,189295,158817,161876,133850,124344,87194,37542,122797,36771,66433,33068,13368,14433,25880,32856
"3084",1362716,897072,528565,412493,471703,424466,363056,170199,153991,128549,130241,107026,98850,68966,29568,96382,28782,51885,25782,10409,11226,45612
"3086",1275086,1115696,734459,432748,337706,386107,347205,296467,138547,124788,103609,104390,85337,78459,54531,23307,75785,22587,40653,20177,8137,44362
"3088",333892,1043951,913453,601320,354290,276431,315855,283592,241461,112378,100723,83208,83439,67928,62237,43136,18395,59706,17769,31947,15841,41155
"3090",819650,273368,854712,747864,492294,289989,226079,257806,230622,195320,90331,80435,66043,65873,53387,48737,33680,14330,46427,13797,24778,44124
"3092",737612,671072,223814,699772,612271,402951,237181,184561,209729,186675,157158,72234,63950,52242,51888,41909,38153,26309,11174,36153,10733,53510
"3094",555718,603905,549425,183241,572894,501136,329527,193547,150013,169500,149846,125269,57200,50349,40935,40498,32608,29611,20379,8642,27927,49518
"3096",766014,454982,494433,449826,150016,468897,409786,268836,157230,121117,135853,119195,98943,44901,39320,31833,31387,25204,22840,15692,6646,59439
"3098",721014,627158,372506,404802,368258,122771,383268,333928,217838,126371,96408,107060,93056,76615,34531,30071,24237,23813,19069,17242,11826,49642
"3100",489730,590315,513472,304978,331403,301400,100383,312595,271107,175692,101122,76519,84329,72813,59616,26747,23209,18653,18285,14616,13197,46936
"3102",1828828,400956,483307,420390,249679,271233,246423,81861,253706,218528,140465,80166,60185,65870,56547,46082,20598,17820,14287,13981,11159,45797
"3104",714452,1497317,328274,395694,344171,204371,221859,201213,66627,205541,176067,112527,63879,47734,52040,44533,36199,16148,13948,11170,10918,44408
"3106",1429298,584943,1225897,268767,323956,281726,167193,181235,163928,54070,166034,141547,90061,50926,37930,41241,35218,28579,12732,10986,8791,43480
"3108",1613412,1170209,478909,1003667,220035,265150,230377,136410,147250,132391,43356,132152,111884,70757,39808,29528,32000,27255,22071,9817,8460,40164
"3110",970942,1320948,958083,392093,821688,180094,216827,187974,110847,118953,106200,34528,104528,87972,55360,31019,22934,24791,21073,17038,7569,37409
"3112",970942,794939,1081497,784405,321006,672596,147325,177097,153088,89901,95999,85269,27591,83177,69758,43773,24471,18061,19495,16552,13371,35246
"3114",970942,794939,650839,885449,642193,262764,550242,120348,144278,124236,72621,77176,68244,21995,66093,55283,34616,19319,14239,15354,13026,38209
"3116",970942,794939,650839,532858,724921,525688,214982,449595,98098,117196,100499,58496,61916,54559,17533,52559,43879,27433,15292,11260,12133,40439
