"","Year","RecAge3","RecAge0","Rec_std"
"1","1964",532613,455615,"172553"
"2","1965",532603,435985,"162791"
"3","1966",264059,422282,"155861"
"4","1967",249995,418335,"153036"
"5","1968",239185,427371,"155281"
"6","1969",231643,448528,"161835"
"7","1970",229487,470738,"168065"
"8","1971",234357,476659,"167531"
"9","1972",245872,476513,"164846"
"10","1973",258151,427138,"156069"
"11","1974",261346,501793,"182230"
"12","1975",261290,609171,"213463"
"13","1976",234301,621030,"215005"
"14","1977",275249,558901,"202236"
"15","1978",334137,804832,"237951"
"16","1979",340518,1065140,"294830"
"17","1980",306545,1223000,"376223"
"18","1981",441410,2262170,"421507"
"19","1982",584106,976982,"294041"
"20","1983",670727,702171,"274589"
"21","1984",1240885,1352310,"459656"
"22","1985",535989,2121820,"531982"
"23","1986",385229,919482,"423372"
"24","1987",741947,2409590,"412364"
"25","1988",1164238,579668,"229915"
"26","1989",504590,1063110,"296951"
"27","1990",1322387,1202660,"327278"
"28","1991",318123,1032960,"293068"
"29","1992",583436,1003370,"289105"
"30","1993",660025,795886,"270679"
"31","1994",566892,771220,"251876"
"32","1995",550654,693230,"235681"
"33","1996",436786,1207050,"281840"
"34","1997",423249,1154200,"293600"
"35","1998",380447,1049860,"260787"
"36","1999",662431,751622,"205868"
"37","2000",633428,788530,"213267"
"38","2001",576167,1095690,"250948"
"39","2002",412493,1362720,"261831"
"40","2003",432748,1275090,"217596"
"41","2004",601320,333892,"108694"
"42","2005",747864,819649,"162279"
"43","2006",699772,737612,"161073"
"44","2007",183241.2,555717,"138800"
"45","2008",449826,766015,"162817"
"46","2009",404802,721013,"160055"
"47","2010",304978,489730,"144452"
"48","2011",420390,1828830,"273697"
"49","2012",395694,714452,"239586"
"50","2013",268767,1429300,"369424"
"51","2014",1003667,1613410,"489040"
"52","2015",392093,970941,"27324"
"53","2016",784405,970941,"27324"
"54","2017",885449,970941,"27324"
"55","2018",532858,970941,""
"56","Average",496997.530909091,914687.381818182,""
