"year","nhauls_tot","ninds_tot","nhauls_female","ninds_female","nhauls_male","ninds_male"
1973,1,14,1,8,1,6
1975,34,2112,33,1494,34,618
1976,4,124,4,64,4,60
1977,138,8948,132,4401,134,4547
1978,145,10479,135,5583,136,4896
1979,218,17756,218,9745,206,8011
1980,90,9656,88,5127,87,4529
1981,62,8930,62,5615,62,3315
1982,46,2779,44,1625,43,1154
1983,48,2928,42,1622,43,1306
1984,56,5684,55,3522,56,2162
1985,152,7172,144,4067,140,3105
1986,55,714,48,391,43,323
1987,40,4075,40,1697,40,2378
1988,166,15083,160,6612,160,8471
1989,140,10216,140,5754,137,4462
1990,72,4870,72,2434,70,2436
1991,69,7676,69,2962,69,4714
1992,10,910,10,381,10,529
1993,59,4829,59,2646,59,2183
1994,98,7728,97,3392,98,4336
1995,127,10227,127,5464,127,4763
1996,241,14129,240,7075,241,7054
1997,151,11776,150,6388,150,5388
1998,392,29671,391,14573,392,15098
1999,845,18643,841,9325,838,9318
2000,2437,20077,2305,11254,2139,8823
2001,1671,12800,1589,6998,1391,5802
2002,1124,10574,1052,5270,982,5304
2003,1002,10369,973,5509,922,4860
2004,1499,17595,1449,8380,1383,9215
2005,1065,13304,1031,6645,986,6659
2006,1216,13784,1163,6447,1132,7337
2007,1022,10713,987,5019,930,5694
2008,4164,39394,3973,19685,3717,19709
2009,3102,28899,2905,14824,2782,14075
2010,2658,21971,2481,11150,2368,10821
2011,2473,15732,2276,8646,1996,7086
2012,2262,14993,2032,8764,1743,6229
2013,3090,23960,2870,13363,2517,10597
2014,2631,22687,2436,12035,2204,10652
2015,2605,17720,2363,9782,2127,7938
2016,3110,20341,2892,11451,2676,8890
2017,2037,13850,1824,7040,1748,6810
2018,2407,16093,2252,8647,2113,7446
2019,3547,27558,3338,14196,3110,13362
2020,1002,8763,947,5159,829,3604
