"Year","Scenario 1","Scenario 2","Scenario 3","Scenario 4","Scenario 5","Scenario 6","Scenario 7"
2024,11125,11125,11125,11125,11125,11125,11125
2025,11148,11148,11148,11148,11148,101621,83807
2026,11148,11148,11148,11148,11148,84214,74696
2027,90501,90501,14375,21320,0,68090,76684
2028,80256,80256,14672,21494,0,57781,62366
2029,65554,65554,15007,21746,0,52340,54866
2030,57840,57840,15490,22246,0,51692,53098
2031,57158,57158,16178,23077,0,55995,56740
2032,60880,60880,17065,24225,0,63517,63860
2033,66222,66222,18055,25541,0,71649,71768
2034,71392,71392,19096,26936,0,78416,78427
2035,75439,75439,20094,28271,0,83078,83047
2036,78197,78197,21021,29497,0,85884,85846
2037,79834,79834,21799,30511,0,87154,87120
2038,80646,80646,22444,31336,0,87430,87406
