"assessment_year","assessment_type","assessment_used","refYr","ABC","OFL","interval"
2020,"full",2020,2021,65156600,79048800,4
2020,"full",2020,2022,70668300,85772500,4
2020,"full",2020,2023,76690100,93095900,4
2020,"full",2020,2024,82371300,99969300,4
2008,"full",2008,2009,68326500,82765600,4
2008,"full",2008,2010,68040900,82439500,4
2008,"full",2008,2011,67503400,81789000,4
2008,"full",2008,2012,67544600,81816500,4
2016,"full",2016,2017,58085700,70312600,4
2016,"full",2016,2018,57274700,69349900,4
2016,"full",2016,2019,56792900,68797800,4
2016,"full",2016,2020,56045300,67925800,4
2012,"full",2012,2013,62014000,75068900,4
2012,"full",2012,2014,59364900,71837100,4
2012,"full",2012,2015,56679800,68574700,4
2012,"full",2012,2016,55089000,66649700,4
2009,"proj",2008,2009,68326500,82765600,4
2009,"proj",2008,2010,68040900,82439500,4
2009,"proj",2008,2011,67503400,81789000,4
2009,"proj",2008,2012,67544600,81816500,4
2010,"proj",2008,2010,68040900,82439500,4
2010,"proj",2008,2011,67503400,81789000,4
2010,"proj",2008,2012,67544600,81816500,4
2011,"proj",2008,2011,67503400,81789000,4
2011,"proj",2008,2012,67544600,81816500,4
2013,"proj",2008,2013,62014000,75068900,4
2013,"proj",2008,2014,59364900,71837100,4
2013,"proj",2008,2015,56679800,68574700,4
2013,"proj",2008,2016,55089000,66649700,4
2014,"proj",2008,2014,59364900,71837100,4
2014,"proj",2008,2015,56679800,68574700,4
2014,"proj",2008,2016,55089000,66649700,4
2015,"proj",2008,2015,56679800,68574700,4
2015,"proj",2008,2016,55089000,66649700,4
2017,"proj",2008,2017,58085700,70312600,4
2017,"proj",2008,2018,57274700,69349900,4
2017,"proj",2008,2019,56792900,68797800,4
2017,"proj",2008,2020,56045300,67925800,4
2018,"proj",2008,2018,57274700,69349900,4
2018,"proj",2008,2019,56792900,68797800,4
2018,"proj",2008,2020,56045300,67925800,4
2019,"proj",2008,2019,56792900,68797800,4
2019,"proj",2008,2020,56045300,67925800,4
